question,option1,option2,option3,option4,correct
What is the capital of France?,London,Berlin,Paris,Madrid,2
What is 7 Ã— 8?,54,56,58,52,1
Which planet is known as the Red Planet?,Venus,Mars,Jupiter,Saturn,1
What is the largest ocean on Earth?,Atlantic Ocean,Indian Ocean,Arctic Ocean,Pacific Ocean,3
Who wrote 'Romeo and Juliet'?,Charles Dickens,William Shakespeare,Jane Austen,Mark Twain,1
What is the chemical symbol for water?,CO2,H2O,O2,NaCl,1
How many continents are there on Earth?,5,6,7,8,2
What is the square root of 144?,10,11,12,13,2
Which gas do plants absorb from the atmosphere?,Oxygen,Nitrogen,Carbon Dioxide,Hydrogen,2
What is the smallest prime number?,0,1,2,3,2
